"filename", "language", "JSON", "Ignore", "JSON with Comments", "JavaScript", "CSV", "HTML", "OJS", "YAML", "XML", "TypeScript", "pip requirements", "Markdown", "CSS", "Arrow", "comment", "blank", "total"
"e:\projects\vscode\randomFractals\vscode-data-table\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"e:\projects\vscode\randomFractals\vscode-data-table\resources\icons\data-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\projects\vscode\randomFractals\vscode-data-table\resources\images\data-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\projects\vscode\randomFractals\vscode-data-table\src\extension\commands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 6, 49
"e:\projects\vscode\randomFractals\vscode-data-table\src\extension\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 1, 74
"e:\projects\vscode\randomFractals\vscode-data-table\src\extension\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 3, 12
"e:\projects\vscode\randomFractals\vscode-data-table\src\extension\extension.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 5, 19
"e:\projects\vscode\randomFractals\vscode-data-table\src\extension\tsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\css.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\dataSummary.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 2, 30
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\dataSummaryRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 14, 7, 60
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\dataSummaryView.js", "JavaScript", 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 50, 624
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\dataTable.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 2, 30
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\dataTableRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 14, 8, 65
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\flatDataGrid.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 2, 30
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\flatDataGridRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 13, 6, 62
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\outputLoader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 64, 21, 265
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 9, 21, 123
"e:\projects\vscode\randomFractals\vscode-data-table\src\renderer\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"e:\projects\vscode\randomFractals\vscode-data-table\src\test\checkNoTestProvider.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 5, 17, 130
"e:\projects\vscode\randomFractals\vscode-data-table\src\test\runTest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 6, 24
"e:\projects\vscode\randomFractals\vscode-data-table\src\test\suite\extension.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 4, 16
"e:\projects\vscode\randomFractals\vscode-data-table\src\test\suite\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 25, 3, 38
"e:\projects\vscode\randomFractals\vscode-data-table\src\test\tsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\projects\vscode\randomFractals\vscode-data-table\src\tsconfig-base.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"e:\projects\vscode\randomFractals\vscode-data-table\tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\projects\vscode\randomFractals\vscode-data-table\webpack.config.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 62
"Total", "-", 821659, 22, 60, 1249, 14885, 29, 96, 2, 11522, 654, 2, 391, 93, 7533, 427, 370, 858994
